marque,modele,annee,kilometrage,prix,type_camion,localisation,photo,url_fiche
MAN,TGX 18.460 4X2 BLS,2019,"Wolfsburg, Niedersachsen,  DE","172,490 USD",Lowboy Trailers,WOB-SKY GmbH,https://www.mascus.com/_next/image?url=https%3A%2F%2Fdnge9sb91helb.cloudfront.net%2Fimage%2Fproduct%2Fcust%2F350%2F250%2F84707101%2Fman-tgx-18-460-4x2-bls%2C9a1d7f9a.jpg&w=3840&q=75,https://www.mascus.com/transportation/low-loader-semi-trailers/man-tgx-18-460-4x2-bls/bjafag3g.html
Scania,S540 6x2,2023,354181mil,"100,390 USD",Conventional Trucks / Tractor Trucks,"Arlöv , Skåne län,  SE",https://www.mascus.com/_next/image?url=https%3A%2F%2Fdnge9sb91helb.cloudfront.net%2Fimage%2Fproduct%2Fcust%2F350%2F250%2F192b221d%2Fscania-s540-6x2%2C394c86a8.jpg&w=3840&q=75,https://www.mascus.com/transportation/tractor-units/scania-s540-6x2/4o5q5h4s.html
Volvo,FH 520,2008,563331mil,"28,844 USD",Boom / Crane / Bucket Trucks,"Schalkwijk, Utrecht,  NL",https://www.mascus.com/_next/image?url=https%3A%2F%2Fdnge9sb91helb.cloudfront.net%2Fimage%2Fproduct%2Fcust%2F350%2F250%2F5d2f3180%2Fvolvo-fh-520%2Ce8615773.jpg&w=3840&q=75,https://www.mascus.com/transportation/crane-trucks/volvo-fh-520/8s5u6gbf.html
Scania,P 114-380,2003,515738mil,"19,614 USD",Forest machine transport trucks,"otepää, Valgamaa,  EE",https://www.mascus.com/_next/image?url=https%3A%2F%2Fdnge9sb91helb.cloudfront.net%2Fimage%2Fproduct%2Fcust%2F350%2F250%2Faaed1c59%2Fscania-p-114-380%2Cc6868e2d.jpg&w=3840&q=75,https://www.mascus.com/transportation/used-forest-machine-transport-trucks/scania-p-114-380/dphs4r8o.html
MAN,TGS 18.480 4x4 hydrodrive,2015,"Zabartowo, kujawsko-pomorskie,  PL","14,592 USD",Conventional Trucks / Tractor Trucks,"WŁADYSŁAW SZYLING P.P.U.H. H U R T - T R A N S, K A W I K O","https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/tractor-units/man-tgs-18-480-4x4-hydrodrive/bk6k4rhg.html
MAN,TGL 12.240,2007,316899mil,"29,901 USD",Boom / Crane / Bucket Trucks,"-,  HU","https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/crane-trucks/man-tgl-12-240/htcl6s5f.html
Ford,Transit **115T350-EURO4**,2011,106287mil,"5,654 USD",Pickup Trucks,"Herentals,  BE","https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/pick-up-dropside/ford-transit-115t350-euro4/8qep6o6f.html
Scania,R580 V8 4X2 TOPLINE RETARDER EURO 6 2017,2017,574768mil,"36,633 USD",Conventional Trucks / Tractor Trucks,"Vuren,  NL","https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/tractor-units/scania-r580-v8-4x2-topline-retarder-euro-6-2017/embo4pif.html
MOL,3x SAF AXLE + 6x IN STOCK + 27M3 HARDOX,2011,"Roosendaal,  NL","13,788 USD",Grain / Hopper / Tipper Trailers,Trucks Roosendaal,"https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/tipper-semi-trailers/mol-3x-saf-axle-6x-in-stock-27m3-hardox/7gfgek7g.html
MOL,3x SAF + 27CUB + 6X IN STOCK + PERFECT + HARDOX,2013,"Roosendaal,  NL","15,576 USD",Grain / Hopper / Tipper Trailers,Trucks Roosendaal,"https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/tipper-semi-trailers/mol-3x-saf-27cub-6x-in-stock-perfect-hardox/6siffqeq.html
DAF,55 .230 + EURO 2 + PUMP + 6P CREW + MANUAL + COMPL,1999,12598mil,"12,634 USD",Fire Trucks,"Roosendaal,  NL","https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/fire-trucks/daf-55-230-euro-2-pump-6p-crew-manual-compl/cm5t9l8p.html
MOL,3x SAF AXLE + 27 CUB + 6x IN STOCK,2011,"Roosendaal,  NL","13,788 USD",Grain / Hopper / Tipper Trailers,Trucks Roosendaal,"https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/tipper-semi-trailers/mol-3x-saf-axle-27-cub-6x-in-stock/8t9qehcq.html
DAF,"XF 106.480 **BELGIAN TRUCK-481""KM-ALU WHEELS**",2020,299456mil,"24,806 USD",Conventional Trucks / Tractor Trucks,"Herentals,  BE","https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/tractor-units/daf-xf-106-480-belgian-truck-481-km-alu-wheels/4mcnhl6m.html
MOL,3x SAF AXLE+ 27CUB + 6X IN STOCK,2014,"Roosendaal,  NL","17,249 USD",Grain / Hopper / Tipper Trailers,Trucks Roosendaal,"https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/tipper-semi-trailers/mol-3x-saf-axle-27cub-6x-in-stock/9hfneu7l.html
Volvo,FM 490 4X2,2024,7879mil,"223,718 USD",Conventional Trucks / Tractor Trucks,"Veghel,  NL","https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/tractor-units/volvo-fm-490-4x2/gu7katdq.html
Mercedes-Benz,Actros 1851 4X2 BigSpace Retarder 2xTanks ACC,2021,165706mil,"57,574 USD",Conventional Trucks / Tractor Trucks,"Veghel,  NL","https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/tractor-units/mercedes-benz-actros-1851-4x2-bigspace-retarder-2xtanks-acc/8hel6per.html
Iveco,Stralis 420 X-WAY + HMF 5020K-RCS 6x TRACTOR + 6X4,113730mil,"Roosendaal,  NL",On Request,Conventional Trucks / Tractor Trucks,Trucks Roosendaal,"https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/tractor-units/iveco-stralis-420-x-way-hmf-5020k-rcs-6x-tractor-6x4/8o9kcuhg.html
Volvo,FH540 STANDARD automat E6 VIN 233 - NEW TACHO,2019,383007mil,"40,267 USD",Conventional Trucks / Tractor Trucks,"Jurská cesta 4821/3, 934 01 Levice, Slovakia,  SK","https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/tractor-units/volvo-fh540-standard-automat-e6-vin-233-new-tacho/gp9i3i6h.html
Ford,Transit 90 T 350,2003,1mil,On Request,Box body,"Saarlouis,  DE","https://www.mascus.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mascus.com/transportation/box-body-lutons/ford-transit-90-t-350/aieiejcq.html
