marque,modele,annee,kilometrage,prix,type_camion,localisation,photo
Scania,540 S,2020,433717mil,"65,665 USD",Conventional Trucks / Tractor Trucks,"Nykarleby, Pohjanmaa,  FI",/_next/image?url=https%3A%2F%2Fdnge9sb91helb.cloudfront.net%2Fimage%2Fproduct%2Fcust%2F350%2F250%2Fc6dad4c9%2Fscania-540-s%2Cf5477271.jpg&w=3840&q=75
Scania,G410,2018,188471mil,"27,648 USD",Conventional Trucks / Tractor Trucks,"-,  BE",/_next/image?url=https%3A%2F%2Fdnge9sb91helb.cloudfront.net%2Fimage%2Fproduct%2Fcust%2F350%2F250%2Fd3f6277f%2Fscania-g410%2Cefd980a8.jpg&w=3840&q=75
MAN,19.372 Tractor Kipper 4x4 Big Axle Full Steel Susp,1992,138994mil,"17,165 USD",Conventional Trucks / Tractor Trucks,"'s-Hertogenbosch,  NL",/_next/image?url=https%3A%2F%2Fdnge9sb91helb.cloudfront.net%2Fimage%2Fproduct%2Fcust%2F350%2F250%2Fc51f5b73%2Fman-19-372-tractor-kipper-4x%2Cd5ab7a1f-1.jpg&w=3840&q=75
Volvo,FH 460 Globe LNG GAS Euro6D Standklima,2020,248859mil,"33,985 USD",Conventional Trucks / Tractor Trucks,"Schlierbach,  DE",/_next/image?url=https%3A%2F%2Fdnge9sb91helb.cloudfront.net%2Fimage%2Fproduct%2Fcust%2F350%2F250%2Fcfed9701%2Fvolvo-fh-460-globe-lng-gas-e%2C4a51e02f-1.jpg&w=3840&q=75
Volvo,FH 500,2020,257248mil,"58,062 USD",Conventional Trucks / Tractor Trucks,"Budapest,  hu","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Mercedes-Benz,Actros 1848,2019,475970mil,"31,565 USD",Conventional Trucks / Tractor Trucks,"Budapest,  hu","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
DAF,106 / 480 / EURO 6 / ACC / MEGA / LOW DECK / SUPER,2020,260976mil,"38,362 USD",Conventional Trucks / Tractor Trucks,"Budapest,  hu","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Mercedes-Benz,ACTROS / 1848 / ACC / E 6 / MP 5 / RETARDER / HYDR,211266mil,"Budapest,  hu","58,638 USD",Conventional Trucks / Tractor Trucks,Laslo Truck,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Mercedes-Benz,Arocs 3251 8x4 Fassi F 485A.2.26 C,2016,454822mil,"115,202 USD",Conventional Trucks / Tractor Trucks,"Budapest,  hu","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Volvo,FH 500,2018,538107mil,"40,321 USD",Conventional Trucks / Tractor Trucks,"Budapest,  hu","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Scania,S 500,2022,392085mil,"69,697 USD",Conventional Trucks / Tractor Trucks,"Budapest,  hu","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Scania,S 460 A4x2EB Mega,2025,93178mil,"114,050 USD",Conventional Trucks / Tractor Trucks,"Gliwice,  PL","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Scania,S 460 A4x2EB Nowe OPONY Tachograf SMART 2,2023,156010mil,"95,591 USD",Conventional Trucks / Tractor Trucks,"Wrocław,  PL","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Scania,G410 6x2/4 Retarder Highline Euro 6,2013,670334mil,"19,296 USD",Conventional Trucks / Tractor Trucks,"Venlo,  NL","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Scania,G410 6x2/4 Retarder Highline Euro 6,2013,668083mil,"19,296 USD",Conventional Trucks / Tractor Trucks,"Venlo,  NL","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
DAF,"XF 106.460 **BELGIAN ORIGINE-451""KM ONLY**",2014,280417mil,"12,096 USD",Conventional Trucks / Tractor Trucks,"Herentals,  BE","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
MAN,TGX 28.460 6x2!!2019!!HMF 32tm! CRANE!! TOP!EURO6!,2019,281862mil,On Request,Conventional Trucks / Tractor Trucks,"Hedel,  NL","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Volvo,FH 500!!6X2!!2020!! ONLY 227tkm!!FULL OPTIONS!!,2020,140591mil,"91,874 USD",Conventional Trucks / Tractor Trucks,"Hedel,  NL","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
MAN,TGX 18.510 4X2 GX Retarder Full-Air ACC Standklima,2020,330097mil,"41,358 USD",Conventional Trucks / Tractor Trucks,"Veghel,  NL","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Volvo,FH 500 6X2 GLOBE VEB+,2020,353169mil,"50,631 USD",Conventional Trucks / Tractor Trucks,"Vuren, The Netherlands,  NL","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Scania,"R450 HL,ADR EXIII,FL",2021,388805mil,"60,942 USD",Conventional Trucks / Tractor Trucks,"Vuren, The Netherlands,  NL","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
DAF,XF 510,2016,617372mil,"19,469 USD",Conventional Trucks / Tractor Trucks,"Vuren, The Netherlands,  NL","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Mercedes-Benz,ACTROS 2655 6X4 V8 MP3 STEEL EPS,2011,319621mil,"57,543 USD",Conventional Trucks / Tractor Trucks,"Vuren, The Netherlands,  NL","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Ford,F-MAX 500,2022,147265mil,"32,833 USD",Conventional Trucks / Tractor Trucks,"Bodzentyn,  pl","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
