titre,prix,annee,km,pays,type,modele,lien
ECARRY Elektro Fahrgestell ! 3.5t,Company,2023,,Germany,Cab & Chassis Trucks,ECARRY Elektro Fahrgestell ! 3.5t,https://www.mascus.com/transportation/chassis-cab-trucks/ecarry-elektro-fahrgestell-3-5t/fu5s6g6j.html
Mack GR64B,Company,2027,799 miles,United States,Other Trucks,Mack GR64B,https://www.mascus.com/transportation/other-trucks/mack-gr64b/gh9p8hgt.html
Mercedes-Benz Mercedes Benz Antos 2540,Company,2014,"266,623 miles",Germany,Beverage Trucks,Mercedes-Benz Mercedes Benz Antos 2540,https://www.mascus.com/transportation/beverage-delivery-trucks/mercedes-benz-mercedes-benz-antos-2540/8saq8k5p.html
Isuzu NPR-1G404,Company,2027,,United States,Cab & Chassis Trucks,Isuzu NPR-1G404,https://www.mascus.com/transportation/chassis-cab-trucks/isuzu-npr-1g404/df3ickgk.html
CAT CT660L,Company,2011,,United States,Skip loader trucks,CAT CT660L,https://www.mascus.com/transportation/skip-loader-trucks/cat-ct660l/ajalamck.html
Renault D240.16,Company,2019,"142,915 miles",Spain,Reefer Trucks,Renault D240.16,https://www.mascus.com/transportation/temperature-controlled-trucks/renault-d240-16/bl7qdkek.html
Renault Master,Company,2012,"150,138 miles",France,Dump Trucks,Renault Master,https://www.mascus.com/transportation/tipper-trucks/renault-master/coisdq9i.html
Volvo TRUCK VNL64TV04,Company,2027,,United States,Other Trucks,Volvo TRUCK VNL64TV04,https://www.mascus.com/transportation/other-trucks/volvo-truck-vnl64tv04/cg4j4igs.html
Hino 268,Company,2018,,United States,Box trucks,Hino 268,https://www.mascus.com/transportation/box-body-trucks/hino-268/7udoar6r.html
Scania P280,Company,2019,"388,978 miles",Belgium,Box trucks,Scania P280,https://www.mascus.com/transportation/box-body-trucks/scania-p280/4jfm7fgr.html
Renault D210FRC,Company,2020,"94,110 miles",Belgium,Reefer Trucks,Renault D210FRC,https://www.mascus.com/transportation/temperature-controlled-trucks/renault-d210frc/7kerdq8f.html
Freightliner M2 106,Company,2016,"179,705 miles",United States,Flatbed Trucks,Freightliner M2 106,https://www.mascus.com/transportation/flatbed-dropside-trucks/freightliner-m2-106/9t6idk9f.html
Freightliner M2 106,Company,2007,"217,451 miles",United States,Box trucks,Freightliner M2 106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2-106/eoanej4u.html
Mercedes-Benz Arocs 1827 AWD 4x4,Company,2017,"10,377 miles",Hungary,Winch trucks,Mercedes-Benz Arocs 1827 AWD 4x4,https://www.mascus.com/transportation/beavertail-flatbed---winch-trucks/mercedes-benz-arocs-1827-awd-4x4/dmdpashf.html
Mercedes-Benz Atego 1218,Company,2003,"200,130 miles",Netherlands,Box trucks,Mercedes-Benz Atego 1218,https://www.mascus.com/transportation/box-body-trucks/mercedes-benz-atego-1218/hf3o7nim.html
Volvo FH540,Company,2013,"187,530 miles",Finland,Hook lift trucks,Volvo FH540,https://www.mascus.com/transportation/hook-lift-trucks/volvo-fh540/3fgs6h4f.html
