titre,lien,categorie,annee,kilometrage,ville,prix
Hino 155,https://www.mascus.com/transportation/other-trucks/hino-155/goirct7t.html,Other Trucks,2020,105900mil,"Miami, Florida,  US","29,500 USD"
"Chevrolet 6500 XD 24' Box Truck with 3,300lb Lift Gate",https://www.mascus.com/transportation/box-body-trucks/chevrolet-6500-xd-24-box-truck-with-3-300lb-lift-gate/dp8fbgfk.html,Box trucks,2024,5345mil,"Denver, Colorado,  US","99,500 USD"
Chevrolet 4500 14' Box Truck With Walk Ramp,https://www.mascus.com/transportation/box-body-trucks/chevrolet-4500-14-box-truck-with-walk-ramp/ip8s7geh.html,Box trucks,2023,34746mil,"Denver, Colorado,  US","49,500 USD"
Hino 195,https://www.mascus.com/transportation/hook-lift-trucks/hino-195/3g8k7lcg.html,Hook lift trucks,2020,232701mil,"Orlando, Florida,  US",On Request
Mack MD6 42R,https://www.mascus.com/transportation/box-body-trucks/mack-md6-42r/eregch9l.html,Box trucks,2022,72939mil,"Miami, Florida,  US","64,995 USD"
Mack MD6 42R,https://www.mascus.com/transportation/box-body-trucks/mack-md6-42r/8kfr8f4o.html,Box trucks,2022,122414mil,"Fort Lauderdale, Florida,  US","59,995 USD"
Mack MD6 42R,https://www.mascus.com/transportation/box-body-trucks/mack-md6-42r/4hbqbfel.html,Box trucks,2022,70077mil,"Fort Lauderdale, Florida,  US","64,995 USD"
Isuzu NPR-1F104,https://www.mascus.com/transportation/chassis-cab-trucks/isuzu-npr-1f104/5t3iag7q.html,Cab & Chassis Trucks,2027,"Jacksonville, Florida,  US",,On Request
Kenworth T 800,https://www.mascus.com/transportation/tipper-trucks/kenworth-t-800/hjcg8t5t.html,Dump Trucks,2019,140000mil,"Greer, South Carolina,  US","136,750 USD"
Kenworth T 880,https://www.mascus.com/transportation/tipper-trucks/kenworth-t-880/5khpffgu.html,Dump Trucks,2016,385000mil,"Greer, South Carolina,  US","109,750 USD"
Freightliner 114SD,https://www.mascus.com/transportation/flatbed-dropside-trucks/freightliner-114sd/6kfjeuao.html,Flatbed Trucks,2016,144684mil,"Hatfield, Pennsylvania,  US","59,500 USD"
Peterbilt 367,https://www.mascus.com/transportation/tipper-trucks/peterbilt-367/gjhi5tar.html,Dump Trucks,2016,452000mil,"Greer, South Carolina,  US","118,750 USD"
International 4300,https://www.mascus.com/transportation/box-body-trucks/international-4300/hldh4rbh.html,Box trucks,2020,116022mil,"North East, Maryland,  US",Place a bid
International F-4900,https://www.mascus.com/transportation/flatbed-dropside-trucks/international-f-4900/9n8o6fij.html,Flatbed Trucks,1996,323064mil,"North East, Maryland,  US",Place a bid
